mother_pid,wav,child_pid,child_wav,child_age,child_gender,child_enroll,mother_wav,mother_edu,mother_birthy,mother_pa401ccode,mother_birth_prov
130571102.0,2018,130571103.0,2018.0,10.0,1.0,1.0,2018.0,4.0,1982.0,,
130575102.0,2018,130575103.0,2018.0,15.0,1.0,1.0,2018.0,4.0,1981.0,,
130578102.0,2018,130578103.0,2018.0,16.0,0.0,1.0,2018.0,3.0,1980.0,,
130588104.0,2018,130588105.0,2018.0,19.0,1.0,0.0,2018.0,4.0,,,
130639104.0,2018,130639105.0,2018.0,16.0,0.0,1.0,2018.0,4.0,1979.0,,
130646101.0,2018,130646104.0,2018.0,16.0,0.0,1.0,2018.0,,1972.0,,
130676101.0,2018,130676103.0,2018.0,19.0,0.0,1.0,2018.0,,1973.0,,
130693101.0,2018,130693103.0,2018.0,13.0,1.0,1.0,2018.0,3.0,1982.0,,
130693101.0,2018,130693103.0,2018.0,13.0,1.0,1.0,2018.0,3.0,1982.0,,
130700103.0,2018,130700106.0,2018.0,11.0,0.0,1.0,2018.0,3.0,1985.0,,
130700103.0,2018,130700106.0,2018.0,11.0,0.0,0.0,2018.0,3.0,1985.0,,
130705103.0,2018,130705104.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1987.0,,
130705103.0,2018,130705104.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1987.0,,
130708101.0,2018,130708103.0,2018.0,15.0,1.0,1.0,2018.0,4.0,1979.0,,
130708101.0,2018,130708103.0,2018.0,15.0,1.0,1.0,2018.0,4.0,1979.0,,
130717101.0,2018,130717103.0,2018.0,13.0,1.0,1.0,2018.0,4.0,1982.0,,
130717101.0,2018,130717103.0,2018.0,13.0,1.0,1.0,2018.0,4.0,1982.0,,
130719102.0,2018,130719103.0,2018.0,17.0,1.0,0.0,2018.0,4.0,1974.0,,
130733101.0,2018,130733103.0,2018.0,19.0,0.0,1.0,2018.0,,1972.0,,
130735102.0,2018,130735103.0,2018.0,19.0,1.0,1.0,2018.0,4.0,1976.0,,
130736101.0,2018,130736103.0,2018.0,19.0,0.0,1.0,2018.0,4.0,1976.0,,
130737101.0,2018,130737103.0,2018.0,17.0,0.0,1.0,2018.0,5.0,1976.0,,
130758102.0,2018,130758103.0,2018.0,18.0,1.0,1.0,2018.0,,1971.0,,
130783101.0,2018,130783103.0,2018.0,13.0,1.0,1.0,2018.0,4.0,1982.0,,
130783101.0,2018,130783103.0,2018.0,13.0,1.0,1.0,2018.0,4.0,1982.0,,
130810107.0,2018,130810105.0,2018.0,11.0,0.0,1.0,2018.0,,1973.0,,
130810107.0,2018,130810105.0,2018.0,11.0,0.0,1.0,2018.0,,1973.0,,
130841101.0,2018,130841103.0,2018.0,15.0,0.0,1.0,2018.0,3.0,1980.0,,
130841101.0,2018,130841103.0,2018.0,15.0,0.0,1.0,2018.0,3.0,1980.0,,
130844101.0,2018,130844103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1980.0,,
130844101.0,2018,130844103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1980.0,,
130846102.0,2018,130846103.0,2018.0,12.0,0.0,1.0,2018.0,4.0,1982.0,,
130846102.0,2018,130846103.0,2018.0,12.0,0.0,1.0,2018.0,4.0,1982.0,,
130875108.0,2018,130875106.0,2018.0,13.0,1.0,1.0,,,,,
130877101.0,2018,130877105.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1979.0,,
130877101.0,2018,130877105.0,2018.0,10.0,0.0,0.0,2018.0,4.0,1979.0,,
130878101.0,2018,130878103.0,2018.0,18.0,1.0,0.0,2018.0,4.0,1978.0,,
130880104.0,2018,130880105.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1987.0,,
130880104.0,2018,130880105.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1987.0,,
130881104.0,2018,130881105.0,2018.0,16.0,1.0,1.0,2018.0,4.0,1978.0,,
130884101.0,2018,130884105.0,2018.0,16.0,1.0,1.0,2018.0,4.0,1978.0,,
130892104.0,2018,130892105.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1987.0,,
130892104.0,2018,130892105.0,2018.0,10.0,0.0,0.0,2018.0,4.0,1987.0,,
130893105.0,2018,130893106.0,2018.0,10.0,0.0,1.0,2018.0,5.0,1986.0,,
130893105.0,2018,130893106.0,2018.0,10.0,0.0,1.0,2018.0,5.0,1986.0,,
130898101.0,2018,130898103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1982.0,,
130898101.0,2018,130898103.0,2018.0,15.0,0.0,1.0,2018.0,4.0,1982.0,,
130900103.0,2018,130900106.0,2018.0,12.0,1.0,1.0,2018.0,4.0,1985.0,,
130900103.0,2018,130900106.0,2018.0,12.0,1.0,0.0,2018.0,4.0,1985.0,,
130902106.0,2018,130902105.0,2018.0,11.0,1.0,1.0,2018.0,4.0,1986.0,,
130902106.0,2018,130902105.0,2018.0,11.0,1.0,1.0,2018.0,4.0,1986.0,,
130903501.0,2018,130903104.0,2018.0,15.0,1.0,1.0,,,,,
130903501.0,2018,130903104.0,2018.0,15.0,1.0,1.0,,,,,
130904101.0,2018,130904102.0,2018.0,18.0,0.0,1.0,2018.0,,1971.0,,
130923104.0,2018,130923105.0,2018.0,10.0,0.0,0.0,2018.0,3.0,,,
130923104.0,2018,130923105.0,2018.0,10.0,0.0,0.0,2018.0,3.0,,,
130926102.0,2018,130926103.0,2018.0,13.0,0.0,1.0,2018.0,4.0,1984.0,,
130926102.0,2018,130926103.0,2018.0,13.0,0.0,1.0,2018.0,4.0,1984.0,,
130928104.0,2018,130928105.0,2018.0,13.0,1.0,1.0,2018.0,4.0,1982.0,,
130928104.0,2018,130928105.0,2018.0,13.0,1.0,1.0,2018.0,4.0,1982.0,,
130937101.0,2018,130937103.0,2018.0,19.0,1.0,1.0,2018.0,,1973.0,,
135165501.0,2018,135165502.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1984.0,,
135165501.0,2018,135165502.0,2018.0,10.0,0.0,1.0,2018.0,4.0,1984.0,,
140241104.0,2018,140241105.0,2018.0,15.0,1.0,1.0,2018.0,0.0,1979.0,,
140241104.0,2018,140241105.0,2018.0,15.0,1.0,1.0,2018.0,0.0,1979.0,,
