mother_pid,wav,child_pid,child_birth_y,child_gender,child_enroll,child_age,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
210395102.0,2020,210395103.0,2005.0,0.0,1.0,15.0,4.0,9.0,2020.0,,,,,,,,
210409102.0,2020,210409103.0,2010.0,0.0,1.0,10.0,2.0,4.0,2020.0,1983.0,0.0,37.0,,,0.0,15.0,2020.0
210588102.0,2020,210588103.0,2005.0,1.0,1.0,15.0,1.0,8.0,2020.0,1977.0,0.0,43.0,,,0.0,16.0,2020.0
210648104.0,2020,210648105.0,2007.0,1.0,1.0,13.0,2.0,7.0,2020.0,1986.0,0.0,34.0,,,0.0,9.0,2020.0
210660104.0,2020,210660105.0,2008.0,0.0,0.0,12.0,1.0,6.0,2020.0,1982.0,0.0,38.0,,,0.0,15.0,2020.0
210684101.0,2020,210684103.0,2006.0,0.0,1.0,14.0,2.0,8.0,2020.0,1982.0,0.0,38.0,,,0.0,12.0,2020.0
210691102.0,2020,210691103.0,2008.0,1.0,1.0,12.0,1.0,6.0,2020.0,1972.0,0.0,48.0,,,,12.0,2020.0
210698101.0,2020,210698103.0,2006.0,1.0,1.0,14.0,2.0,8.0,2020.0,1978.0,0.0,42.0,,,0.0,16.0,2020.0
210712101.0,2020,210712103.0,2006.0,1.0,1.0,14.0,1.0,7.0,2020.0,1971.0,0.0,49.0,,,,16.0,2020.0
210728103.0,2020,210728105.0,2008.0,1.0,1.0,12.0,2.0,6.0,2020.0,1985.0,0.0,35.0,,,0.0,9.0,2020.0
210741101.0,2020,210741105.0,2005.0,1.0,1.0,15.0,4.0,9.0,2020.0,1974.0,0.0,46.0,,,,8.0,2020.0
210840102.0,2020,210840103.0,2007.0,0.0,1.0,13.0,1.0,6.0,2020.0,1978.0,0.0,42.0,,,0.0,9.0,2020.0
210853101.0,2020,210853104.0,2005.0,0.0,1.0,15.0,1.0,9.0,2020.0,1967.0,0.0,53.0,,,,7.0,2020.0
210911105.0,2020,210911106.0,2009.0,0.0,0.0,11.0,2.0,6.0,2020.0,1986.0,0.0,34.0,,,0.0,9.0,2020.0
210920105.0,2020,210920106.0,2006.0,1.0,1.0,14.0,3.0,8.0,2020.0,1984.0,0.0,36.0,,,0.0,6.0,2020.0
210923104.0,2020,210923106.0,2008.0,1.0,1.0,12.0,2.0,6.0,2020.0,1986.0,0.0,34.0,,,0.0,6.0,2020.0
210930105.0,2020,210930106.0,2005.0,0.0,1.0,15.0,3.0,10.0,2020.0,1982.0,0.0,38.0,,,0.0,12.0,2020.0
210946101.0,2020,210946105.0,2007.0,1.0,1.0,13.0,3.0,7.0,2020.0,,,,,,,,
210995101.0,2020,210995102.0,2007.0,0.0,1.0,13.0,3.0,7.0,2020.0,1982.0,0.0,38.0,,,0.0,12.0,2020.0
211032104.0,2020,211032401.0,2010.0,0.0,1.0,10.0,3.0,3.0,2020.0,1988.0,0.0,32.0,,,0.0,9.0,2020.0
211051104.0,2020,211051105.0,2009.0,0.0,1.0,11.0,1.0,5.0,2020.0,1983.0,0.0,37.0,,,0.0,9.0,2020.0
211059101.0,2020,211059103.0,2009.0,0.0,1.0,11.0,3.0,4.0,2020.0,1967.0,0.0,53.0,,,,9.0,2020.0
211181105.0,2020,211181106.0,2010.0,0.0,1.0,10.0,2.0,4.0,2020.0,1981.0,0.0,39.0,,,0.0,12.0,2020.0
211190101.0,2020,211190103.0,2005.0,1.0,1.0,15.0,4.0,8.0,2020.0,1972.0,0.0,48.0,,,,9.0,2020.0
211198102.0,2020,211198103.0,2007.0,0.0,1.0,13.0,2.0,7.0,2020.0,1968.0,0.0,52.0,,,,9.0,2020.0
211201106.0,2020,211201107.0,2009.0,0.0,1.0,11.0,2.0,4.0,2020.0,,,,,,,,
211258101.0,2020,211258104.0,2007.0,1.0,1.0,13.0,1.0,7.0,2020.0,1983.0,0.0,37.0,,,0.0,15.0,2020.0
211281551.0,2020,211281102.0,,0.0,1.0,15.0,2.0,9.0,2020.0,,,,,,,,
211298102.0,2020,211298103.0,,1.0,1.0,14.0,1.0,8.0,2020.0,1979.0,0.0,41.0,,,0.0,9.0,2020.0
211338104.0,2020,211338105.0,2010.0,0.0,1.0,10.0,1.0,4.0,2020.0,1983.0,0.0,37.0,,,0.0,16.0,2020.0
211353105.0,2020,211353106.0,2010.0,1.0,1.0,10.0,3.0,4.0,2020.0,1990.0,0.0,30.0,,,0.0,9.0,2020.0
211455101.0,2020,211455105.0,2009.0,1.0,1.0,11.0,1.0,5.0,2020.0,,,,,,,,
211460104.0,2020,211460105.0,2007.0,0.0,1.0,13.0,1.0,7.0,2020.0,1985.0,0.0,35.0,,,0.0,9.0,2020.0
211470102.0,2020,211470401.0,2010.0,0.0,1.0,10.0,1.0,3.0,2020.0,1987.0,0.0,33.0,,,0.0,0.0,2020.0
211491104.0,2020,211491105.0,2009.0,1.0,1.0,11.0,1.0,4.0,2020.0,1987.0,0.0,33.0,,,0.0,9.0,2020.0
211604102.0,2020,211604103.0,2008.0,1.0,1.0,12.0,2.0,6.0,2020.0,1980.0,0.0,40.0,,,0.0,12.0,2020.0
211654102.0,2020,211654105.0,2007.0,0.0,1.0,13.0,2.0,6.0,2020.0,1981.0,0.0,39.0,,,0.0,12.0,2020.0
211714102.0,2020,211714104.0,2009.0,1.0,1.0,11.0,3.0,4.0,2020.0,1943.0,0.0,,,,,0.0,2020.0
211715101.0,2020,211715103.0,2006.0,1.0,1.0,14.0,2.0,8.0,2020.0,1976.0,0.0,44.0,,,0.0,16.0,2020.0
