mother_pid,wav,child_pid,child_birth_y,child_gender,child_age,child_enroll,child_math,child_eduy,child_wav,mother_birth_y,mother_gender,mother_age,mother_eth,mother_birth_prov,mother_enroll2,mother_eduy,mother_wav
140631101.0,2018,140631103.0,2003.0,1.0,15.0,1.0,4.0,8.0,2018.0,1982.0,0.0,36.0,,,0.0,12.0,2018.0
140640102.0,2018,140640105.0,2006.0,0.0,12.0,1.0,3.0,6.0,2018.0,1987.0,0.0,31.0,,,0.0,7.0,2018.0
140650102.0,2018,140650103.0,2008.0,0.0,10.0,0.0,1.0,4.0,2018.0,1987.0,0.0,31.0,,,0.0,9.0,2018.0
140676432.0,2018,140676106.0,2004.0,0.0,14.0,1.0,3.0,9.0,2018.0,,,,,,,,
140834104.0,2018,140834106.0,2004.0,0.0,14.0,1.0,3.0,9.0,2018.0,1985.0,0.0,33.0,,,0.0,6.0,2018.0
140851102.0,2018,140851103.0,2005.0,0.0,13.0,1.0,3.0,7.0,2018.0,1973.0,0.0,45.0,,,,,2018.0
140867101.0,2018,140867103.0,2008.0,0.0,10.0,1.0,3.0,3.0,2018.0,1983.0,0.0,35.0,,,0.0,12.0,2018.0
350145103.0,2018,350145105.0,2004.0,1.0,14.0,1.0,4.0,8.0,2018.0,1973.0,0.0,45.0,,,,12.0,2018.0
211465104.0,2018,211465105.0,2005.0,1.0,13.0,1.0,4.0,6.0,2018.0,1983.0,0.0,35.0,,,0.0,6.0,2018.0
440120103.0,2018,440120106.0,2004.0,0.0,14.0,1.0,4.0,7.0,2018.0,1981.0,0.0,37.0,,,0.0,9.0,2018.0
311704101.0,2018,311704106.0,2005.0,1.0,13.0,1.0,2.0,7.0,2018.0,1979.0,0.0,39.0,,,0.0,16.0,2018.0
410049101.0,2018,410049103.0,2007.0,1.0,11.0,1.0,2.0,6.0,2018.0,1976.0,0.0,42.0,,,0.0,12.0,2018.0
410383104.0,2018,410383105.0,2004.0,0.0,14.0,1.0,1.0,7.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
410546103.0,2018,410546401.0,2008.0,1.0,10.0,0.0,1.0,4.0,2018.0,1988.0,0.0,30.0,,,0.0,9.0,2018.0
620734104.0,2018,620734105.0,2003.0,1.0,15.0,0.0,,6.0,2018.0,,0.0,34.0,,,0.0,6.0,2018.0
410858104.0,2018,410858107.0,2006.0,0.0,12.0,1.0,1.0,6.0,2018.0,1982.0,0.0,36.0,,,0.0,9.0,2018.0
620332104.0,2018,620332105.0,2005.0,0.0,13.0,1.0,1.0,7.0,2018.0,1981.0,0.0,37.0,,,0.0,12.0,2018.0
620966104.0,2018,157765501.0,2003.0,0.0,15.0,1.0,3.0,8.0,2018.0,1978.0,0.0,40.0,,,0.0,0.0,2018.0
320337103.0,2018,320337105.0,2003.0,1.0,15.0,1.0,2.0,9.0,2018.0,1981.0,0.0,37.0,,,0.0,12.0,2018.0
340105104.0,2018,340105105.0,2004.0,0.0,14.0,1.0,3.0,9.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
130911104.0,2018,130911105.0,2005.0,1.0,13.0,0.0,3.0,7.0,2018.0,1982.0,0.0,36.0,,,0.0,12.0,2018.0
211214104.0,2018,211214105.0,2006.0,0.0,12.0,1.0,2.0,6.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
500145104.0,2018,500145105.0,2004.0,0.0,14.0,1.0,4.0,8.0,2018.0,1985.0,0.0,33.0,,,0.0,6.0,2018.0
164993551.0,2018,164993552.0,2005.0,1.0,13.0,1.0,4.0,6.0,2018.0,,0.0,34.0,9.0,,0.0,,2018.0
330006103.0,2018,330006432.0,2008.0,1.0,10.0,1.0,1.0,3.0,2018.0,1984.0,0.0,34.0,,,0.0,15.0,2018.0
130858104.0,2018,130858105.0,2008.0,0.0,10.0,1.0,1.0,3.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
169774581.0,2018,169774552.0,2003.0,0.0,15.0,1.0,1.0,9.0,2018.0,,,,,,,,
411559104.0,2018,411559105.0,2006.0,1.0,12.0,1.0,2.0,7.0,2018.0,1984.0,0.0,34.0,,,0.0,12.0,2018.0
440285102.0,2018,440285104.0,2003.0,1.0,15.0,1.0,4.0,8.0,2018.0,1977.0,0.0,41.0,,,0.0,16.0,2018.0
320029104.0,2018,320029105.0,2002.0,1.0,16.0,1.0,3.0,10.0,2018.0,1977.0,0.0,41.0,,,0.0,9.0,2018.0
520035106.0,2018,520035104.0,2008.0,1.0,10.0,1.0,4.0,4.0,2018.0,,0.0,38.0,,,0.0,4.0,2018.0
520561103.0,2018,520561106.0,2004.0,0.0,14.0,0.0,4.0,7.0,2018.0,1983.0,0.0,35.0,,,0.0,0.0,2018.0
411031104.0,2018,411031105.0,2004.0,1.0,14.0,1.0,,7.0,2018.0,,,,,,,,
411206110.0,2018,411206107.0,2006.0,1.0,12.0,1.0,3.0,6.0,2018.0,1986.0,0.0,32.0,,,0.0,9.0,2018.0
411778104.0,2018,411778111.0,2003.0,1.0,15.0,1.0,2.0,10.0,2018.0,1977.0,0.0,41.0,,,0.0,16.0,2018.0
177667501.0,2018,621605103.0,2008.0,1.0,10.0,1.0,3.0,4.0,2018.0,1983.0,0.0,35.0,,,0.0,9.0,2018.0
130906101.0,2018,180336401.0,2007.0,1.0,11.0,1.0,1.0,4.0,2018.0,,0.0,32.0,,,0.0,9.0,2018.0
620340103.0,2018,620340104.0,2004.0,0.0,14.0,1.0,1.0,9.0,2018.0,1979.0,0.0,39.0,1.0,,0.0,12.0,2018.0
230004103.0,2018,230004105.0,2007.0,1.0,11.0,1.0,2.0,5.0,2018.0,1984.0,0.0,34.0,,,0.0,9.0,2018.0
320154104.0,2018,320154105.0,2008.0,1.0,10.0,1.0,1.0,3.0,2018.0,1989.0,0.0,29.0,,,0.0,9.0,2018.0
