mother_pid,wav,child_pid,child_birth_y,child_age,child_gender,child_enroll,child_math,child_enroll2,child_eduy,child_wav,mother_birth_y,mother_age,mother_gender,mother_eth,mother_enroll2,mother_eduy,mother_birth_prov,mother_wav
410980102.0,2014,410980103.0,2001.0,13.0,0.0,1.0,4.0,1.0,8.0,2014.0,1978.0,36.0,0.0,,0.0,0.0,,2014.0
410982105.0,2014,410982106.0,2003.0,11.0,0.0,1.0,3.0,1.0,4.0,2014.0,1981.0,33.0,0.0,,0.0,6.0,,2014.0
410986102.0,2014,410986103.0,2003.0,11.0,1.0,1.0,1.0,1.0,6.0,2014.0,1977.0,37.0,0.0,,0.0,6.0,,2014.0
410996101.0,2014,410996103.0,1999.0,15.0,1.0,1.0,1.0,1.0,9.0,2014.0,1978.0,36.0,0.0,,0.0,0.0,,2014.0
411001104.0,2014,411001105.0,2004.0,10.0,1.0,1.0,3.0,1.0,4.0,2014.0,1979.0,35.0,0.0,,0.0,6.0,,2014.0
411022104.0,2014,411022105.0,2004.0,10.0,1.0,1.0,2.0,1.0,3.0,2014.0,1980.0,34.0,0.0,,0.0,9.0,,2014.0
411026103.0,2014,411026104.0,1999.0,15.0,0.0,5.0,,0.0,,2014.0,1971.0,43.0,0.0,,0.0,6.0,,2014.0
411031104.0,2014,411031105.0,2004.0,10.0,1.0,1.0,,1.0,5.0,2014.0,1980.0,34.0,0.0,,0.0,0.0,,2014.0
411035107.0,2014,411035105.0,2001.0,13.0,0.0,1.0,2.0,1.0,6.0,2014.0,1977.0,37.0,0.0,1.0,0.0,6.0,41.0,2014.0
411042104.0,2014,411042105.0,2000.0,14.0,1.0,1.0,1.0,1.0,10.0,2014.0,1970.0,44.0,0.0,,0.0,9.0,,2014.0
411043102.0,2014,411043103.0,1999.0,15.0,1.0,5.0,,,,2014.0,1978.0,36.0,0.0,,0.0,6.0,,2014.0
411047104.0,2014,411047105.0,1999.0,15.0,1.0,1.0,1.0,,11.0,2014.0,1968.0,46.0,0.0,,,6.0,,2014.0
411056101.0,2014,411056103.0,1999.0,15.0,0.0,1.0,2.0,1.0,8.0,2014.0,1973.0,41.0,0.0,,0.0,0.0,,2014.0
411073103.0,2014,411073102.0,2002.0,12.0,1.0,1.0,2.0,1.0,7.0,2014.0,1974.0,40.0,0.0,,0.0,12.0,,2014.0
411078102.0,2014,411078103.0,2000.0,14.0,0.0,1.0,2.0,1.0,9.0,2014.0,1975.0,39.0,0.0,,0.0,12.0,,2014.0
411102103.0,2014,411102104.0,2004.0,10.0,0.0,1.0,1.0,1.0,1.0,2014.0,1976.0,38.0,0.0,,0.0,12.0,,2014.0
411105104.0,2014,411105106.0,2004.0,10.0,1.0,1.0,3.0,,6.0,2014.0,1978.0,36.0,0.0,,0.0,9.0,,2014.0
